312,0,2003,29
313,0,2004,29
314,0,2005,29
315,0,2006,29
316,0,2007,29
317,0,2008,29
318,0,2009,29
319,0,2010,29
320,8,2000,30
321,8,2001,30
322,8,2002,30
323,8,2003,30
324,9,2004,30
325,9,2005,30
326,9,2006,30
327,9,2007,30
328,9,2008,30
329,9,2009,30
330,9,2010,30
331,6,2000,31
332,6,2001,31
333,6,2002,31
334,6,2003,31
335,7,2004,31
336,7,2005,31
337,7,2006,31
338,7,2007,31
339,7,2008,31
340,7,2009,31
341,7,2010,31
342,2,2000,32
343,2,2001,32
344,2,2002,32
345,2,2003,32
346,2,2004,32
347,2,2005,32
348,2,2006,32
349,2,2007,32
350,2,2008,32
351,2,2009,32
352,2,2010,32
353,0,2000,33
354,0,2001,33
355,0,2002,33
356,0,2003,33
357,0,2004,33
358,0,2005,33
359,0,2006,33
360,0,2007,33
361,0,2008,33
362,0,2009,33
363,0,2010,33
364,0,2000,34
365,0,2002,34
366,0,2001,34
367,0,2003,34
368,0,2004,34
369,0,2005,34
370,0,2006,34
371,0,2007,34
372,0,2008,34
373,0,2009,34
374,0,2010,34
375,4,2000,36
376,5,2001,36
377,5,2002,36
378,5,2003,36
379,5,2004,36
380,5,2005,36
381,5,2006,36
382,5,2007,36
383,5,2008,36
384,5,2009,36
385,5,2010,36
386,2,2000,37
387,2,2001,37
388,3,2002,37
389,3,2003,37
390,3,2004,37
391,3,2005,37
392,3,2006,37
393,3,2007,37
394,3,2008,37
395,3,2009,37
396,3,2010,37
397,5,2000,38
398,5,2001,38
399,5,2002,38
400,5,2003,38
401,5,2004,38
402,5,2005,38
403,6,2006,38
404,6,2007,38
405,6,2008,38
406,6,2009,38
407,6,2010,38
408,26,2000,39
409,26,2001,39
410,26,2002,39
411,27,2003,39
412,27,2004,39
413,28,2005,39
414,28,2006,39
415,28,2007,39
416,29,2008,39
417,29,2009,39
418,29,2010,39
419,3,2000,40
420,3,2001,40
421,3,2002,40
422,3,2003,40
423,3,2004,40
424,3,2005,40
425,3,2006,40
426,3,2007,40
427,3,2008,40
428,3,2009,40
429,3,2010,40
430,0,2000,41
431,0,2001,41
432,0,2002,41
433,0,2003,41
434,0,2004,41
435,0,2005,41
436,0,2006,41
437,0,2007,41
438,0,2008,41
439,0,2009,41
440,0,2010,41
441,0,2000,42
